id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
100405,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.POL.CAJURU,DEL.SEC.7º ITAQUERA,50º D.P.  ITAIM PAULISTA
100407,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.POL.CRAVINHOS,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS
100410,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.POL.JARDINÓPOLIS,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORÃ
100412,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.POL.MORRO AGUDO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.CAIEIRAS
100414,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SERTÃOZINHO,DEL.POL.PONTAL,DEL.SEC.5º LESTE,30º D.P.  TATUAPE
100415,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.POL.ORLANDIA,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
100419,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,03º D.P. RIBEIRAO PRETO,DEL.SEC.OSASCO,06º D.P. OSASCO
100420,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,04º D.P. RIBEIRAO PRETO,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
100422,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.POL.S.ROSA DE VITERBO,DEL.SEC.1º CENTRO,04º D.P. CONSOLAÇÃO
100429,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,05º D.P. RIBEIRAO PRETO,DEL.SEC.8º SAO MATEUS,53º D.P.  PARQUE DO CARMO
100430,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,06º D.P. RIBEIRAO PRETO,DEL.SEC.1º CENTRO,12º D.P. PARI
